Date,Product,Category,Sales,Profit
2026-05-20,Laptop,Accessories,33624,5392
2026-08-11,Mouse,Electronics,26176,8126
2026-02-15,Laptop,Electronics,42139,9283
2026-09-24,Monitor,Electronics,2893,8483
2026-01-06,Mouse,Electronics,23174,4368
2026-07-19,Keyboard,Electronics,27103,5504
2026-05-21,Monitor,Accessories,44884,1785
2026-02-26,Keyboard,Electronics,33551,756
2026-04-23,Mouse,Accessories,46772,2516
2026-12-09,Mouse,Electronics,45726,6226
2026-02-15,Mouse,Electronics,34089,2127
2026-05-07,Monitor,Electronics,30089,4912
2026-06-07,Printer,Accessories,8311,104
2026-08-04,Mouse,Electronics,38507,9391
2026-09-06,Mouse,Accessories,27997,8802
2026-04-11,Mouse,Electronics,43870,2790
2026-06-27,Laptop,Accessories,34719,3562
2026-01-03,Printer,Electronics,38441,4723
2026-05-16,Mouse,Accessories,37952,1433
2026-08-17,Keyboard,Accessories,6567,3203
2026-03-27,Printer,Accessories,44099,3865
2026-05-20,Keyboard,Electronics,42965,5983
2026-01-09,Printer,Electronics,2311,2793
2026-12-17,Printer,Electronics,18083,3479
2026-01-24,Printer,Accessories,29446,7778
2026-12-09,Monitor,Electronics,47981,1649
2026-09-07,Monitor,Electronics,46484,5264
2026-02-14,Keyboard,Electronics,13828,1520
2026-08-25,Printer,Accessories,27549,5369
2026-06-21,Monitor,Accessories,42927,5791
2026-02-28,Laptop,Accessories,3748,1533
2026-04-18,Monitor,Accessories,26874,8389
2026-12-12,Monitor,Electronics,6086,8176
2026-06-16,Mouse,Electronics,10361,4177
2026-10-24,Monitor,Accessories,43582,1796
2026-06-17,Monitor,Electronics,31425,981
2026-09-02,Printer,Electronics,7227,1347
2026-02-02,Monitor,Electronics,20831,8030
2026-10-14,Keyboard,Accessories,13671,724
2026-12-23,Printer,Accessories,44627,3873
2026-02-03,Monitor,Electronics,47326,2578
2026-02-02,Mouse,Accessories,41103,9258
2026-04-10,Keyboard,Electronics,26370,9190
2026-08-03,Mouse,Electronics,48838,2804
2026-08-04,Keyboard,Accessories,7412,8085
2026-11-27,Monitor,Accessories,46418,5246
2026-07-14,Keyboard,Accessories,45076,7818
2026-11-21,Mouse,Accessories,49689,2910
2026-04-22,Mouse,Accessories,37920,9015
2026-10-25,Monitor,Accessories,30394,8715
2026-04-05,Keyboard,Accessories,37551,9008
2026-03-18,Printer,Accessories,38487,1821
2026-02-08,Laptop,Accessories,20807,9487
2026-02-28,Monitor,Electronics,7034,9380
2026-01-02,Keyboard,Electronics,37751,5048
2026-04-05,Printer,Accessories,15540,1165
2026-08-18,Printer,Electronics,46637,2202
2026-05-04,Printer,Accessories,16857,326
2026-06-25,Printer,Accessories,11823,568
2026-12-11,Mouse,Electronics,46863,1601
2026-06-25,Printer,Electronics,45323,2975
2026-12-26,Mouse,Accessories,24950,7366
2026-11-02,Monitor,Electronics,48326,9794
2026-01-28,Printer,Electronics,37221,2272
2026-10-28,Printer,Accessories,45564,3243
2026-05-23,Laptop,Electronics,30615,3566
2026-01-06,Monitor,Accessories,36655,8066
2026-12-04,Printer,Electronics,23917,3311
2026-08-25,Keyboard,Accessories,21443,2084
2026-07-24,Keyboard,Electronics,36071,3022
2026-01-02,Laptop,Accessories,15228,800
2026-02-02,Laptop,Accessories,15771,178
2026-05-20,Laptop,Accessories,40441,2466
2026-12-22,Keyboard,Electronics,30551,6577
2026-09-05,Printer,Electronics,42988,2268
2026-10-03,Laptop,Electronics,39434,5437
2026-05-21,Monitor,Electronics,28471,3437
2026-03-21,Keyboard,Electronics,10627,6356
2026-06-22,Mouse,Accessories,38384,3635
2026-10-14,Mouse,Electronics,18406,6830
2026-09-25,Keyboard,Accessories,10065,9041
2026-08-11,Monitor,Accessories,7287,8860
2026-04-07,Keyboard,Accessories,17113,4927
2026-02-02,Mouse,Electronics,15810,9404
2026-12-11,Monitor,Accessories,35185,7886
2026-02-16,Keyboard,Electronics,4351,825
2026-08-27,Monitor,Accessories,3670,6780
2026-06-24,Mouse,Electronics,26695,8056
2026-05-18,Laptop,Electronics,42703,4923
2026-09-04,Keyboard,Accessories,24768,8282
2026-12-22,Laptop,Electronics,49993,8046
2026-12-09,Keyboard,Accessories,39951,1870
2026-02-11,Laptop,Accessories,37023,483
2026-11-14,Monitor,Electronics,21030,9040
2026-05-24,Monitor,Accessories,48802,7662
2026-10-18,Keyboard,Accessories,16781,3702
2026-06-16,Printer,Electronics,21272,7132
2026-03-27,Printer,Accessories,32727,116
2026-11-22,Keyboard,Accessories,3039,9527
2026-01-19,Laptop,Accessories,5168,4132
2026-12-09,Mouse,Electronics,12034,7058
2026-04-19,Printer,Accessories,17450,7266
2026-01-24,Monitor,Accessories,40395,1665
2026-11-19,Keyboard,Accessories,32136,9214
2026-03-27,Printer,Accessories,5236,6910
2026-03-11,Mouse,Accessories,12623,5460
2026-03-22,Mouse,Electronics,12792,9858
2026-10-10,Monitor,Accessories,15888,4315
2026-08-27,Printer,Accessories,14986,8934
2026-07-26,Printer,Electronics,39385,921
2026-07-15,Printer,Electronics,30653,3310
2026-05-03,Printer,Electronics,25804,9896
2026-11-24,Printer,Electronics,1423,4892
2026-12-18,Printer,Electronics,27072,93
2026-10-10,Keyboard,Electronics,36193,5875
2026-11-16,Monitor,Accessories,43011,1262
2026-12-13,Keyboard,Accessories,25254,8917
2026-11-27,Printer,Accessories,43969,3112
2026-07-08,Keyboard,Accessories,32160,2123
2026-02-08,Laptop,Accessories,32642,4058
2026-01-15,Mouse,Accessories,17207,6411
2026-01-16,Mouse,Electronics,45303,4062
2026-06-02,Monitor,Electronics,12869,7716
2026-12-13,Printer,Accessories,22200,3097
2026-10-07,Keyboard,Electronics,45387,9580
2026-01-03,Laptop,Accessories,44918,8183
2026-12-03,Mouse,Electronics,5065,2624
2026-08-08,Mouse,Electronics,41593,5812
2026-12-15,Printer,Electronics,2942,9891
2026-04-27,Printer,Electronics,28147,3527
2026-12-03,Keyboard,Accessories,47464,8031
2026-07-27,Printer,Electronics,16284,6030
2026-09-26,Printer,Electronics,28569,7024
2026-08-17,Keyboard,Electronics,28090,1256
2026-10-03,Laptop,Electronics,36359,948
2026-11-02,Mouse,Accessories,822,5323
2026-07-26,Keyboard,Electronics,33693,4655
2026-08-21,Laptop,Electronics,11876,5386
2026-01-12,Printer,Electronics,2801,2364
2026-11-13,Monitor,Electronics,49912,4395
2026-05-02,Monitor,Accessories,4375,1935
2026-12-21,Laptop,Electronics,49942,1448
2026-02-19,Mouse,Accessories,48287,7949
2026-01-22,Keyboard,Electronics,1571,9355
2026-09-20,Monitor,Accessories,41075,5480
2026-06-11,Mouse,Accessories,16089,2397
2026-01-23,Printer,Electronics,40239,4807
2026-12-22,Monitor,Electronics,4671,5244
2026-06-12,Printer,Accessories,38910,710
2026-01-20,Monitor,Accessories,6095,4154
2026-04-27,Mouse,Electronics,36699,97
2026-11-28,Printer,Electronics,9961,9632
2026-07-26,Mouse,Accessories,35372,411
2026-06-01,Monitor,Electronics,17957,8578
2026-12-03,Laptop,Electronics,29781,8994
2026-10-13,Printer,Accessories,20973,2224
2026-02-24,Keyboard,Electronics,23070,327
2026-07-27,Keyboard,Electronics,1659,1052
2026-12-16,Mouse,Electronics,13577,5431
2026-07-01,Keyboard,Accessories,10578,859
2026-07-02,Monitor,Accessories,15183,3773
2026-02-22,Printer,Electronics,18753,1830
2026-06-19,Mouse,Accessories,16192,1428
2026-04-22,Keyboard,Accessories,49100,4801
2026-06-01,Monitor,Accessories,5712,5300
2026-02-06,Laptop,Electronics,47642,6820
2026-11-14,Keyboard,Accessories,29364,92
2026-02-24,Printer,Accessories,36564,7167
2026-02-26,Monitor,Electronics,32217,4216
2026-07-04,Printer,Electronics,27675,825
2026-08-07,Printer,Electronics,27110,9769
2026-09-05,Laptop,Accessories,4297,2697
2026-12-22,Mouse,Electronics,37650,9956
2026-02-09,Mouse,Electronics,30843,744
2026-04-02,Keyboard,Electronics,35237,7378
2026-11-07,Mouse,Electronics,1963,6081
2026-02-21,Keyboard,Electronics,26752,9609
2026-09-09,Monitor,Electronics,49123,2088
2026-06-02,Keyboard,Accessories,32565,4757
2026-07-05,Mouse,Accessories,39191,9509
2026-02-07,Laptop,Electronics,42423,9064
2026-02-23,Keyboard,Accessories,24441,2012
2026-12-16,Keyboard,Electronics,37397,4498
2026-01-21,Printer,Electronics,4475,3084
2026-10-03,Mouse,Electronics,6922,187
2026-10-08,Keyboard,Electronics,46873,5501
2026-06-02,Printer,Accessories,12279,189
2026-03-07,Keyboard,Accessories,19228,3991
2026-10-12,Keyboard,Electronics,40517,3401
2026-08-04,Keyboard,Electronics,34989,306
2026-04-25,Keyboard,Electronics,49413,872
2026-04-02,Keyboard,Accessories,14378,5329
2026-09-25,Monitor,Electronics,27534,2366
2026-02-09,Monitor,Electronics,11787,4658
2026-07-22,Mouse,Accessories,34407,1570
2026-12-22,Laptop,Electronics,17530,8962
2026-04-03,Keyboard,Electronics,24258,5000
2026-10-25,Laptop,Electronics,37811,8907
2026-01-18,Monitor,Accessories,43544,1848
2026-03-07,Mouse,Accessories,16013,5555
